epsilon_in(e),epsilon_out(E),nanoparticle_charge(V),counterion_valency(v),total_gridpoints(g),cpmd_fake_mass(M),fake_temperature(k),R,R_v,FD,Good(1)/Bad(0),Time
160,30,-100,2,1692,30,0.0025,0.166918,2.94254,0.0093652,0,273m29.037s
160,30,-100,2,752,30,0.005,0.653907,11.722,0.0074342,0,63m49.550s
160,30,-20,3,132,36,0.001,0.172261,4.96119,0.0068778,0,8m46.426s
160,30,-20,3,132,30,0.001,0.117676,3.70127,0.0058334,0,9m14.562s
2,78.5,-100,3,132,6,0.001,0.0218961,2.24307,0.0016043,0,10m26.637s
160,30,-60,1,132,30,0.005,893.098,50822.2,0,0,17m32.678s
160,78.5,-100,1,132,36,0.001,0.00179097,0.616241,-0.001963,0,15m46.964s
160,150,-100,2,132,100,0.001,0.000540825,0.127733,-0.010354,1,36m55.279s
160,30,-100,3,1692,100,0.001,3.08771,86.3236,-0.011232,0,262m11.146s
160,30,-100,2,752,100,0.0025,0.967477,23.9922,-0.011682,0,63m48.698s
2,78.5,-100,3,752,36,0.001,0.012922,0.895048,-0.013145,0,57m56.148s
2,30,-100,1,752,1,0.001,0.0112354,0.674263,-0.01374,0,75m13.309s
160,78.5,-100,3,132,6,0.015,1.24E+06,249252,-0.015685,0,10m43.284s
160,30,-60,2,752,18,0.0025,0.094081,2.48445,-0.016821,0,58m11.839s
2,30,-100,2,132,50,0.015,0.0399776,2.29933,-0.017654,0,11m57.937s
160,30,-20,1,132,18,0.001,0.00943523,1.40678,-0.019207,0,10m6.500s
160,78.5,-60,3,132,36,0.0025,0.0039404,0.420021,-0.020769,0,10m42.692s
160,30,-60,1,752,18,0.001,0.0320023,3.16256,-0.021359,0,64m11.685s
160,30,-60,1,752,100,0.0025,0.0421773,1.93165,-0.021794,0,64m33.895s
2,30,-60,3,132,1,0.005,0.0147742,0.616227,-0.023485,0,11m17.000s
160,30,-100,2,752,36,0.005,0.274363,6.1634,-0.023662,0,64m12.809s
2,30,-100,2,752,36,0.005,0.0740621,3.01718,-0.02516,0,61m12.449s
160,78.5,-100,1,132,6,0.005,0.00321376,0.421487,-0.025502,0,15m8.194s
2,30,-100,1,132,30,0.025,0.0114896,0.680859,-0.025771,0,15m6.139s
2,30,-20,1,132,50,0.001,0.00449177,0.330947,-0.026576,0,44m2.919s
160,30,-20,2,132,50,0.0025,0.0282172,1.47218,-0.026656,0,9m25.494s
2,30,-60,2,752,1,0.001,0.0108713,0.417222,-0.028651,0,59m31.257s
160,150,-100,1,132,36,0.0025,0.00179329,0.231767,-0.028744,0,43m28.717s
160,150,-100,3,132,18,0.0025,0.00404455,0.375119,-0.029518,0,47m39.375s
2,30,-100,2,1692,50,0.0025,0.166617,6.17524,-0.030073,0,270m27.373s
160,78.5,-100,1,752,50,0.001,0.002293,0.144408,-0.033709,1,74m34.884s
2,30,-100,1,752,50,0.005,0.0185112,1.32689,-0.035267,0,74m33.184s
2,30,-100,1,132,100,0.025,0.00657392,0.435148,-0.035715,0,14m49.514s
2,30,-60,2,132,18,0.015,0.00987984,0.390928,-0.035762,0,13m6.651s
2,30,-100,3,1692,30,0.0025,0.0424667,1.97922,-0.036314,0,261m38.779s
2,30,-60,2,752,30,0.0025,0.0174479,1.014,-0.036335,0,59m26.411s
2,30,-60,2,1692,50,0.001,0.0255958,1.77591,-0.038718,0,263m39.882s
2,30,-60,2,132,36,0.015,0.0140372,0.591837,-0.039302,0,13m26.123s
2,30,-100,1,752,30,0.005,0.01016,0.958652,-0.040109,0,75m9.317s
2,150,-60,1,132,50,0.001,0.000689839,0.19424,-0.041469,0,12m52.051s
2,30,-20,3,132,3,0.001,0.00362432,0.590192,-0.042883,0,38m18.883s
2,30,-60,1,132,50,0.015,0.00511541,0.369398,-0.042896,0,14m5.340s
2,78.5,-60,3,132,1,0.0025,0.00619124,0.506132,-0.04406,0,12m34.778s
